Year,School,W,L,Pct
2020,Air Force,3,3,0.5
2019,Air Force,11,2,0.846
2018,Air Force,5,7,0.417
2017,Air Force,5,7,0.417
2020,Akron,1,5,0.167
2019,Akron,0,12,0
2018,Akron,4,8,0.333
2017,Akron,7,7,0.5
2020,Alabama,13,0,1
2019,Alabama,11,2,0.846
2018,Alabama,14,1,0.933
2017,Alabama,13,1,0.929
2020,Appalachian State,9,3,0.75
2019,Appalachian State,13,1,0.929
2018,Appalachian State,11,2,0.846
2017,Appalachian State,9,4,0.692
2020,Arizona,0,5,0
2019,Arizona,4,8,0.333
2018,Arizona,5,7,0.417
2017,Arizona,7,6,0.538
2020,Arizona State,2,2,0.5
2019,Arizona State,8,5,0.615
2018,Arizona State,7,6,0.538
2017,Arizona State,7,6,0.538
2020,Arkansas,3,7,0.3
2019,Arkansas,2,10,0.167
2018,Arkansas,2,10,0.167
2017,Arkansas,4,8,0.333
2020,Arkansas State,4,7,0.364
2019,Arkansas State,8,5,0.615
2018,Arkansas State,8,5,0.615
2017,Arkansas State,7,5,0.583
2020,Army,9,3,0.75
2019,Army,5,8,0.385
2018,Army,11,2,0.846
2017,Army,10,3,0.769
2020,Auburn,6,5,0.545
2019,Auburn,9,4,0.692
2018,Auburn,8,5,0.615
2017,Auburn,10,4,0.714
2020,Ball State,7,1,0.875
2019,Ball State,5,7,0.417
2018,Ball State,4,8,0.333
2017,Ball State,2,10,0.167
2020,Baylor,2,7,0.222
2019,Baylor,11,3,0.786
2018,Baylor,7,6,0.538
2017,Baylor,1,11,0.083
2020,Boise State,5,2,0.714
2019,Boise State,12,2,0.857
2018,Boise State,10,3,0.769
2017,Boise State,11,3,0.786
2020,Boston College,6,5,0.545
2019,Boston College,6,7,0.462
2018,Boston College,7,5,0.583
2017,Boston College,7,6,0.538
2020,Bowling Green,0,5,0
2019,Bowling Green,3,9,0.25
2018,Bowling Green,3,9,0.25
2017,Bowling Green,2,10,0.167
2020,Buffalo,6,1,0.857
2019,Buffalo,8,5,0.615
2018,Buffalo,10,4,0.714
2017,Buffalo,6,6,0.5
2020,Brigham Young,11,1,0.917
2019,Brigham Young,7,6,0.538
2018,Brigham Young,7,6,0.538
2017,Brigham Young,4,9,0.308
2020,California,1,3,0.25
2019,California,8,5,0.615
2018,California,7,6,0.538
2017,California,5,7,0.417
2020,Central Michigan,3,3,0.5
2019,Central Michigan,8,6,0.571
2018,Central Michigan,1,11,0.083
2017,Central Michigan,8,5,0.615
2020,Charlotte,2,4,0.333
2019,Charlotte,7,6,0.538
2018,Charlotte,5,7,0.417
2017,Charlotte,1,11,0.083
2020,Cincinnati,9,1,0.9
2019,Cincinnati,11,3,0.786
2018,Cincinnati,11,2,0.846
2017,Cincinnati,4,8,0.333
2020,Clemson,10,2,0.833
2019,Clemson,14,1,0.933
2018,Clemson,15,0,1
2017,Clemson,12,2,0.857
2020,Coastal Carolina,11,1,0.917
2019,Coastal Carolina,5,7,0.417
2018,Coastal Carolina,5,7,0.417
2017,Coastal Carolina,3,9,0.25
2020,Colorado,4,2,0.667
2019,Colorado,5,7,0.417
2018,Colorado,5,7,0.417
2017,Colorado,5,7,0.417
2020,Colorado State,1,3,0.25
2019,Colorado State,4,8,0.333
2018,Colorado State,3,9,0.25
2017,Colorado State,7,6,0.538
2020,Connecticut,0,0,0
2019,Connecticut,2,10,0.167
2018,Connecticut,1,11,0.083
2017,Connecticut,3,9,0.25
2020,Duke,2,9,0.182
2019,Duke,5,7,0.417
2018,Duke,8,5,0.615
2017,Duke,7,6,0.538
2020,East Carolina,3,6,0.333
2019,East Carolina,4,8,0.333
2018,East Carolina,3,9,0.25
2017,East Carolina,3,9,0.25
2020,Eastern Michigan,2,4,0.333
2019,Eastern Michigan,6,7,0.462
2018,Eastern Michigan,7,6,0.538
2017,Eastern Michigan,5,7,0.417
2020,Florida,8,4,0.667
2019,Florida,11,2,0.846
2018,Florida,10,3,0.769
2017,Florida,4,7,0.364
2020,Florida Atlantic,5,4,0.556
2019,Florida Atlantic,11,3,0.786
2018,Florida Atlantic,5,7,0.417
2017,Florida Atlantic,11,3,0.786
2020,Florida International,0,5,0
2019,Florida International,6,7,0.462
2018,Florida International,9,4,0.692
2017,Florida International,8,5,0.615
2020,Florida State,3,6,0.333
2019,Florida State,6,7,0.462
2018,Florida State,5,7,0.417
2017,Florida State,7,6,0.538
2020,Fresno State,3,3,0.5
2019,Fresno State,4,8,0.333
2018,Fresno State,12,2,0.857
2017,Fresno State,10,4,0.714
2020,Georgia,8,2,0.8
2019,Georgia,12,2,0.857
2018,Georgia,11,3,0.786
2017,Georgia,13,2,0.867
2020,Georgia Southern,8,5,0.615
2019,Georgia Southern,7,6,0.538
2018,Georgia Southern,10,3,0.769
2017,Georgia Southern,2,10,0.167
2020,Georgia State,6,4,0.6
2019,Georgia State,7,6,0.538
2018,Georgia State,2,10,0.167
2017,Georgia State,7,5,0.583
2020,Georgia Tech,3,7,0.3
2019,Georgia Tech,3,9,0.25
2018,Georgia Tech,7,6,0.538
2017,Georgia Tech,5,6,0.455
2020,Hawaii,5,4,0.556
2019,Hawaii,10,5,0.667
2018,Hawaii,8,6,0.571
2017,Hawaii,3,9,0.25
2020,Houston,3,5,0.375
