ZipCode,State,City,Metro,CountyName,Date,MedianHousing
77494,TX,Katy,Houston-The Woodlands-Sugar Land,Harris County,2019-01-31,336776.0
77449,TX,Katy,Houston-The Woodlands-Sugar Land,Harris County,2019-01-31,182598.0
77084,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,2019-01-31,180604.0
79936,TX,El Paso,El Paso,El Paso County,2019-01-31,129041.0
78660,TX,Pflugerville,Austin-Round Rock,Travis County,2019-01-31,261768.0
78130,TX,New Braunfels,San Antonio-New Braunfels,Comal County,2019-01-31,235300.0
77573,TX,League City,Houston-The Woodlands-Sugar Land,Galveston County,2019-01-31,278148.0
77584,TX,Pearland,Houston-The Woodlands-Sugar Land,Brazoria County,2019-01-31,271071.0
78613,TX,Cedar Park,Austin-Round Rock,Williamson County,2019-01-31,326490.0
77433,TX,Cypress,Houston-The Woodlands-Sugar Land,Harris County,2019-01-31,278339.0
78572,TX,Mission,McAllen-Edinburg-Mission,Hidalgo County,2019-01-31,116868.0
79912,TX,El Paso,El Paso,El Paso County,2019-01-31,191455.0
75052,TX,Grand Prairie,Dallas-Fort Worth-Arlington,Dallas County,2019-01-31,221087.0
77429,TX,Cypress,Houston-The Woodlands-Sugar Land,Harris County,2019-01-31,255662.0
78245,TX,San Antonio,San Antonio-New Braunfels,Bexar County,2019-01-31,180608.0
77479,TX,Sugar Land,Houston-The Woodlands-Sugar Land,Fort Bend County,2019-01-31,382059.0
77036,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,2019-01-31,205108.0
78704,TX,Austin,Austin-Round Rock,Travis County,2019-01-31,660126.0
77077,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,2019-01-31,319796.0
77379,TX,Spring,Houston-The Woodlands-Sugar Land,Harris County,2019-01-31,257268.0
75287,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,2019-01-31,345757.0
78666,TX,San Marcos,Austin-Round Rock,Hays County,2019-01-31,228934.0
78521,TX,Brownsville,Brownsville-Harlingen,Cameron County,2019-01-31,77512.0
75243,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,2019-01-31,301750.0
78745,TX,Austin,Austin-Round Rock,Travis County,2019-01-31,330488.0
75067,TX,Lewisville,Dallas-Fort Worth-Arlington,Denton County,2019-01-31,257038.0
78641,TX,Leander,Austin-Round Rock,Williamson County,2019-01-31,303741.0
79938,TX,El Paso,El Paso,El Paso County,2019-01-31,153728.0
76063,TX,Mansfield,Dallas-Fort Worth-Arlington,Tarrant County,2019-01-31,288710.0
77459,TX,Missouri City,Houston-The Woodlands-Sugar Land,Fort Bend County,2019-01-31,280230.0
76028,TX,Burleson,Dallas-Fort Worth-Arlington,Johnson County,2019-01-31,233901.0
75056,TX,The Colony,Dallas-Fort Worth-Arlington,Denton County,2019-01-31,322254.0
78577,TX,Pharr,McAllen-Edinburg-Mission,Hidalgo County,2019-01-31,98608.0
78240,TX,San Antonio,San Antonio-New Braunfels,Bexar County,2019-01-31,194618.0
77845,TX,College Station,College Station-Bryan,Brazos County,2019-01-31,259397.0
75035,TX,Frisco,Dallas-Fort Worth-Arlington,Collin County,2019-01-31,400853.0
77450,TX,Cinco Ranch,Houston-The Woodlands-Sugar Land,Fort Bend County,2019-01-31,261244.0
75228,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,2019-01-31,200552.0
76244,TX,Fort Worth,Dallas-Fort Worth-Arlington,Tarrant County,2019-01-31,269646.0
77095,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,2019-01-31,223209.0
75206,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,2019-01-31,500143.0
75217,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,2019-01-31,133506.0
77082,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,2019-01-31,184441.0
76116,TX,Fort Worth,Dallas-Fort Worth-Arlington,Tarrant County,2019-01-31,205383.0
77840,TX,College Station,College Station-Bryan,Brazos County,2019-01-31,216115.0
77007,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,2019-01-31,425409.0
75150,TX,Mesquite,Dallas-Fort Worth-Arlington,Dallas County,2019-01-31,183097.0
78501,TX,McAllen,McAllen-Edinburg-Mission,Hidalgo County,2019-01-31,120315.0
