Year,School,Conference,Coach,SchoolPay,Stadium Size
2017,Alabama,SEC,Nick Saban,11132000,101821
2019,Clemson,ACC,Dabo Swinney,10250000,81500
2020,Alabama,SEC,Nick Saban,9100000,101821
2019,Alabama,SEC,Nick Saban,8700000,101821
2020,LSU,SEC,Ed Orgeron,8687500,102321
2017,Clemson,ACC,Dabo Swinney,8504600,81500
2018,Alabama,SEC,Nick Saban,8307000,101821
2020,Clemson,ACC,Dabo Swinney,8258575,81500
2020,Michigan,Big Ten,Jim Harbaugh,8054000,107601
2018,Ohio State,Big Ten,Urban Meyer,7600000,104944
2019,Michigan,Big Ten,Jim Harbaugh,7504000,107601
2018,Michigan,Big Ten,Jim Harbaugh,7504000,107601
2020,Texas A&M,SEC,Jimbo Fisher,7500000,102733
2019,Texas A&M,SEC,Jimbo Fisher,7500000,102733
2018,Texas A&M,SEC,Jimbo Fisher,7500000,102733
2017,Michigan,Big Ten,Jim Harbaugh,7004000,107601
2020,Auburn,SEC,Gus Malzahn,6900000,87451
2020,Georgia,SEC,Kirby Smart,6803600,92746
2019,Auburn,SEC,Gus Malzahn,6800000,87451
2018,Auburn,SEC,Gus Malzahn,6700000,87451
2020,Penn State,Big Ten,James Franklin,6700000,106572
2019,Georgia,SEC,Kirby Smart,6603600,92746
2018,Georgia,SEC,Kirby Smart,6603600,92746
2020,Oklahoma,Big 12,Lincoln Riley,6507143,82112
2017,Ohio State,Big Ten,Urban Meyer,6431240,104944
2018,Clemson,ACC,Dabo Swinney,6205000,81500
2020,Florida,SEC,Dan Mullen,6070000,88548
2019,Florida,SEC,Dan Mullen,6070000,88548
2018,Florida,SEC,Dan Mullen,6070000,88548
2020,Texas,Big 12,Tom Herman,6000000,100119
2020,Ohio State,Big Ten,Ryan Day,5748264,104944
2017,Florida State,ACC,Jimbo Fisher,5700000,82300
2017,Stanford,Pac-12,David Shaw,5680441,50000
2017,Arizona,Pac-12,Rich Rodriguez,5631563,51811
2019,Texas,Big 12,Tom Herman,5500000,100119
2018,Texas,Big 12,Tom Herman,5500000,100119
2017,Texas,Big 12,Tom Herman,5486316,100119
2017,Texas Christian,Big 12,Gary Patterson,5104077,50000
2020,Michigan State,Big Ten,Mel Tucker,5057000,75005
2019,Florida State,ACC,Willie Taggart,5000000,82300
2018,Florida State,ACC,Willie Taggart,5000000,82300
2019,Illinois,Big Ten,Lovie Smith,5000000,60670
2018,Illinois,Big Ten,Lovie Smith,5000000,60670
2020,Kentucky,SEC,Mark Stoops,5000000,62093
2020,Mississippi State,SEC,Mike Leach,5000000,61337
2020,Nebraska,Big Ten,Scott Frost,5000000,87091
2019,Nebraska,Big Ten,Scott Frost,5000000,87091
2018,Nebraska,Big Ten,Scott Frost,5000000,87091
2019,Oklahoma State,Big 12,Mike Gundy,5000000,60218
2018,Oklahoma State,Big 12,Mike Gundy,5000000,60218
2017,Texas A&M,SEC,Kevin Sumlin,5000000,102733
2020,Utah,Pac-12,Kyle Whittingham,5000000,45017
2020,Iowa,Big Ten,Kirk Ferentz,4900000,70585
2019,Texas Christian,Big 12,Gary Patterson,4840717,50000
2018,Texas Christian,Big 12,Gary Patterson,4840717,50000
2019,Oklahoma,Big 12,Lincoln Riley,4800000,82112
2018,Oklahoma,Big 12,Lincoln Riley,4800000,82112
2019,Penn State,Big Ten,James Franklin,4800000,106572
2018,Penn State,Big Ten,James Franklin,4800000,106572
2020,Purdue,Big Ten,Jeff Brohm,4800000,56400
2017,Auburn,SEC,Gus Malzahn,4725000,87451
2019,Iowa,Big Ten,Kirk Ferentz,4700000,70585
2018,Iowa,Big Ten,Kirk Ferentz,4700000,70585
2020,Minnesota,Big Ten,P.J. Fleck,4600000,52525
2017,Penn State,Big Ten,James Franklin,4600000,106572
2020,South Carolina,SEC,Will Muschamp,4600000,80250
2017,Iowa,Big Ten,Kirk Ferentz,4550000,70585
2017,Mississippi State,SEC,Dan Mullen,4500000,61337
2019,Ohio State,Big Ten,Ryan Day,4500000,104944
2017,Florida,SEC,Jim McElwain,4457400,88548
2019,Michigan State,Big Ten,Mark Dantonio,4390417,75005
2018,Michigan State,Big Ten,Mark Dantonio,4390417,75005
2017,Michigan State,Big Ten,Mark Dantonio,4380492,75005
2019,Washington,Pac-12,Chris Petersen,4377500,70500
2018,Washington,Pac-12,Chris Petersen,4375000,70500
2019,Stanford,Pac-12,David Shaw,4311543,50000
2018,Stanford,Pac-12,David Shaw,4311543,50000
2020,UCLA,Pac-12,Chip Kelly,4300000,92542
2020,Oklahoma State,Big 12,Mike Gundy,4250000,60218
2020,Virginia Tech,ACC,Justin Fuente,4250000,66233
2020,Wisconsin,Big Ten,Paul Chryst,4250000,80321
2017,Arkansas,SEC,Bret Bielema,4200000,72000
2017,Oklahoma State,Big 12,Mike Gundy,4200000,60218
2019,South Carolina,SEC,Will Muschamp,4200000,80250
2018,South Carolina,SEC,Will Muschamp,4200000,80250
2017,Washington,Pac-12,Chris Petersen,4125000,70500
2017,Tennessee,SEC,Butch Jones,4110000,102455
2020,Virginia,ACC,Bronco Mendenhall,4100000,61500
2018,Miami (Fla.),ACC,Mark Richt,4058061,65000
2020,Rutgers,Big Ten,Greg Schiano,4030000,52454
2020,Missouri,SEC,Eliah Drinkwitz,4025000,71168
2019,Kentucky,SEC,Mark Stoops,4013600,62093
2019,Arkansas,SEC,Chad Morris,4000000,72000
2020,Florida State,ACC,Mike Norvell,4000000,82300
2020,Illinois,Big Ten,Lovie Smith,4000000,60670
2018,Kentucky,SEC,Mark Stoops,4000000,62093
2019,Virginia Tech,ACC,Justin Fuente,4000000,66233
2018,Virginia Tech,ACC,Justin Fuente,4000000,66233
2018,Louisville,ACC,Bobby Petrino,3980434,55000
2017,Louisville,ACC,Bobby Petrino,3930434,55000
2020,Mississippi,SEC,Lane Kiffin,3900000,60580
2020,Tennessee,SEC,Jeremy Pruitt,3846000,102455
2019,Tennessee,SEC,Jeremy Pruitt,3846000,102455
2018,Tennessee,SEC,Jeremy Pruitt,3846000,102455
2020,Houston,AAC,Dana Holgorsen,3800000,40000
2019,Purdue,Big Ten,Jeff Brohm,3800000,56400
2018,Purdue,Big Ten,Jeff Brohm,3800000,56400
2019,Utah,Pac-12,Kyle Whittingham,3787917,45017
2018,Utah,Pac-12,Kyle Whittingham,3787917,45017
2020,Indiana,Big Ten,Tom Allen,3770000,52959
2017,Georgia,SEC,Kirby Smart,3753600,92746
2017,Kentucky,SEC,Mark Stoops,3750000,62093
2019,Wisconsin,Big Ten,Paul Chryst,3750000,80321
2018,Wisconsin,Big Ten,Paul Chryst,3750000,80321
2019,Texas Tech,Big 12,Kliff Kingsbury,3703975,60862
2018,Texas Tech,Big 12,Kliff Kingsbury,3703975,60862
2020,Iowa State,Big 12,Matt Campbell,3700000,61500
2017,Utah,Pac-12,Kyle Whittingham,3687917,45017
2019,Northwestern,Big Ten,Pat Fitzgerald,3619775,47130
2018,Northwestern,Big Ten,Pat Fitzgerald,3619775,47130
2018,West Virginia,Big 12,Dana Holgorsen,3605000,60000
2019,Minnesota,Big Ten,P.J. Fleck,3550000,52525
2018,Minnesota,Big Ten,P.J. Fleck,3550000,52525
2017,UCLA,Pac-12,Jim Mora,3550000,92542
2019,Virginia,ACC,Bronco Mendenhall,3550000,61500
2018,Virginia,ACC,Bronco Mendenhall,3550000,61500
2017,West Virginia,Big 12,Dana Holgorsen,3505000,60000
2017,Texas Tech,Big 12,Kliff Kingsbury,3503975,60862
2020,Arizona State,Pac-12,Herm Edwards,3500000,71706
2018,Arkansas,SEC,Chad Morris,3500000,72000
2019,Iowa State,Big 12,Matt Campbell,3500000,61500
2018,Iowa State,Big 12,Matt Campbell,3500000,61500
2019,Kansas State,Big 12,Chris Klieman,3500000,50000
2018,Kansas State,Big 12,Bill Snyder,3500000,50000
2019,LSU,SEC,Ed Orgeron,3500000,102321
2018,LSU,SEC,Ed Orgeron,3500000,102321
2017,LSU,SEC,Ed Orgeron,3500000,102321
2017,Minnesota,Big Ten,P.J. Fleck,3500000,52525
2020,North Carolina,ACC,Mack Brown,3500000,62980
2019,North Carolina,ACC,Mack Brown,3500000,62980
2019,Washington State,Pac-12,Mike Leach,3500000,32248
2018,Washington State,Pac-12,Mike Leach,3500000,32248
2020,Kansas,Big 12,Les Miles,3450000,50071
2020,Cincinnati,AAC,Luke Fickell,3400000,40000
2017,Virginia,ACC,Bronco Mendenhall,3400000,61500
2020,California,Pac-12,Justin Wilcox,3350000,62717
2017,Purdue,Big Ten,Jeff Brohm,3333333,56400
2017,Northwestern,Big Ten,Pat Fitzgerald,3305818,47130
2019,Georgia Tech,ACC,Geoff Collins,3300000,55000
2019,UCLA,Pac-12,Chip Kelly,3300000,92542
2018,UCLA,Pac-12,Chip Kelly,3300000,92542
2020,Louisville,ACC,Scott Satterfield,3250000,55000
2019,Louisville,ACC,Scott Satterfield,3250000,55000
2020,North Carolina State,ACC,Dave Doeren,3250000,57583
2017,Virginia Tech,ACC,Justin Fuente,3250000,66233
2017,Arizona State,Pac-12,Todd Graham,3200000,71706
2020,Colorado,Pac-12,Karl Dorrell,3200000,50183
2017,Kansas State,Big 12,Bill Snyder,3200000,50000
2017,Wisconsin,Big Ten,Paul Chryst,3200000,80321
2019,West Virginia,Big 12,Neal Brown,3125000,60000
2020,West Virginia,Big 12,Neal Brown,3105000,60000
2020,Arizona,Pac-12,Kevin Sumlin,3100000,51811
2020,Georgia Tech,ACC,Geoff Collins,3100000,55000
2019,Miami (Fla.),ACC,Manny Diaz,3100000,65000
2017,South Carolina,SEC,Will Muschamp,3100000,80250
2017,Washington State,Pac-12,Mike Leach,3075000,32248
2018,Georgia Tech,ACC,Paul Johnson,3060018,55000
2020,Washington State,Pac-12,Nick Rolovich,3020000,32248
2019,Pittsburgh,ACC,Pat Narduzzi,3017718,68400
2018,Pittsburgh,ACC,Pat Narduzzi,3017718,68400
2020,Arkansas,SEC,Sam Pittman,3000000,72000
2017,Illinois,Big Ten,Lovie Smith,3000000,60670
2019,Mississippi,SEC,Matt Luke,3000000,60580
2018,Mississippi,SEC,Matt Luke,3000000,60580
2019,North Carolina State,ACC,Dave Doeren,3000000,57583
2018,North Carolina State,ACC,Dave Doeren,3000000,57583
2020,Texas Tech,Big 12,Matt Wells,3000000,60862
2020,Washington,Pac-12,Jimmy Lake,3000000,70500
2017,Georgia Tech,ACC,Paul Johnson,2970891,55000
2017,Nebraska,Big Ten,Mike Riley,2900000,87091
2017,Oregon,Pac-12,Willie Taggart,2900000,54000
2018,Colorado,Pac-12,Mike MacIntyre,2878500,50183
2019,Vanderbilt,SEC,Derek Mason,2812523,40350
2018,Vanderbilt,SEC,Derek Mason,2812523,40350
2017,Colorado,Pac-12,Mike MacIntyre,2803500,50183
2019,Kansas,Big 12,Les Miles,2775000,50071
2017,Vanderbilt,SEC,Derek Mason,2721834,40350
2020,Oregon,Pac-12,Mario Cristobal,2700000,54000
2017,Oregon State,Pac-12,Gary Andersen,2650000,45674
2018,USC,Pac-12,Clay Helton,2625965,78467
2019,USC,Pac-12,Clay Helton,2625965,78467
2017,Duke,ACC,David Cutcliffe,2613638,33941
2020,Maryland,Big Ten,Mike Locksley,2605000,51802
2019,Memphis,AAC,Mike Norvell,2600000,62380
2018,Memphis,AAC,Mike Norvell,2600000,62380
2019,Mississippi State,SEC,Joe Moorhead,2600000,61337
2018,Mississippi State,SEC,Joe Moorhead,2600000,61337
2018,North Carolina,ACC,Larry Fedora,2575000,62980
2019,Duke,ACC,David Cutcliffe,2540928,33941
2018,Duke,ACC,David Cutcliffe,2540928,33941
2019,Boston College,ACC,Steve Addazio,2514859,44500
2018,Boston College,ACC,Steve Addazio,2514859,44500
2018,Maryland,Big Ten,DJ Durkin,2512000,51802
2020,Kansas State,Big 12,Chris Klieman,2500000,50000
2019,Maryland,Big Ten,Mike Locksley,2500000,51802
2019,Oregon,Pac-12,Mario Cristobal,2500000,54000
2018,Oregon,Pac-12,Mario Cristobal,2500000,54000
2017,Maryland,Big Ten,DJ Durkin,2462000,51802
2017,Boston College,ACC,Steve Addazio,2448949,44500
2018,Syracuse,ACC,Dino Babers,2401206,49250
2019,Colorado,Pac-12,Mel Tucker,2400000,50183
2020,Oregon State,Pac-12,Jonathan Smith,2400000,45674
2019,Missouri,SEC,Barry Odom,2350000,71168
2018,Missouri,SEC,Barry Odom,2350000,71168
2017,Missouri,SEC,Barry Odom,2350000,71168
2020,Central Florida,AAC,Josh Heupel,2300000,45301
2020,South Florida,AAC,Jeff Scott,2300000,65890
2017,North Carolina,ACC,Larry Fedora,2290000,62980
2019,Syracuse,ACC,Dino Babers,2268825,49250
2019,Arizona State,Pac-12,Herm Edwards,2250000,71706
2017,North Carolina State,ACC,Dave Doeren,2212600,57583
2019,Rutgers,Big Ten,Chris Ash,2200000,52454
2018,Rutgers,Big Ten,Chris Ash,2200000,52454
2019,Navy,AAC,Ken Niumatalolo,2163000,34000
2018,Navy,AAC,Ken Niumatalolo,2163000,34000
2019,Notre Dame,Ind.,Brian Kelly,2129638,80795
2018,Notre Dame,Ind.,Brian Kelly,2129638,80795
2017,Oklahoma,Big 12,Lincoln Riley,2116666,82112
2017,Iowa State,Big 12,Matt Campbell,2100000,61500
2017,Rutgers,Big Ten,Chris Ash,2100000,52454
2017,Southern Methodist,AAC,Chad Morris,2095793,32000
2018,Arizona State,Pac-12,Herm Edwards,2000000,71706
2017,Central Florida,AAC,Scott Frost,2000000,45301
2019,Cincinnati,AAC,Luke Fickell,2000000,40000
