School,Conference,State,GSR,FSR
Akron,Mid-American Conference,OH,78,67
Alabama,Southeastern Conference,AL,88,63
Alabama at Birmingham,Conference USA,AL,73,47
Appalachian State,Sun Belt Conference,NC,77,65
Arizona,Pac-12 Conference,AZ,78,56
Arizona State,Pac-12 Conference,AZ,75,57
Arkansas State,Sun Belt Conference,AR,77,53
Arkansas,Southeastern Conference,AR,76,52
Auburn,Southeastern Conference,AL,79,64
Ball State,Mid-American Conference,IN,76,64
Baylor,Big 12 Conference,TX,91,59
Boise State,Mountain West Conference,ID,87,61
Boston College,Atlantic Coast Conference,MA,90,80
Bowling Green,Mid-American Conference,OH,78,68
Brigham Young,Independent,UT,70,40
Buffalo,Mid-American Conference,NY,84,75
Fresno State,Mountain West Conference,CA,73,60
California,Pac-12 Conference,CA,80,68
UCLA,Pac-12 Conference,CA,79,61
Central Florida,American Athletic Conference,FL,81,65
Central Michigan,Mid-American Conference,MI,82,69
Cincinnati,American Athletic Conference,OH,87,66
Clemson,Atlantic Coast Conference,SC,83,59
Coastal Carolina,Sun Belt Conference,SC,79,61
Colorado State,Mountain West Conference,CO,75,72
Colorado,Pac-12 Conference,CO,86,58
Connecticut,American Athletic Conference,CT,88,71
Duke,Atlantic Coast Conference,NC,97,92
East Carolina,American Athletic Conference,NC,76,71
Eastern Michigan,Mid-American Conference,MI,75,58
Florida,Southeastern Conference,FL,83,36
Florida Atlantic,Conference USA,FL,74,60
Florida International,Conference USA,FL,69,55
Florida State,Atlantic Coast Conference,FL,51,35
Georgia,Southeastern Conference,GA,71,48
Georgia Tech,Atlantic Coast Conference,GA,88,74
Georgia Southern,Sun Belt Conference,GA,67,58
Georgia State,Sun Belt Conference,GA,79,72
Hawaii,Mountain West Conference,HI,71,56
Houston,American Athletic Conference,TX,67,53
Illinois,Big Ten Conference,IL,90,75
Indiana,Big Ten Conference,IN,88,63
Iowa,Big Ten Conference,IA,87,66
Iowa State,Big 12 Conference,IA,86,66
Kansas,Big 12 Conference,KS,76,55
Kansas State,Big 12 Conference,KS,91,74
Kent State,Mid-American Conference,OH,79,53
Kentucky,Southeastern Conference,KY,79,54
Liberty,Independent,VA,65,55
Louisiana-Lafayette,Sun Belt Conference,LA,75,62
Louisiana-Monroe,Sun Belt Conference,LA,85,68
LSU,Southeastern Conference,LA,66,32
Louisiana Tech,Conference USA,LA,61,47
Louisville,Atlantic Coast Conference,KY,94,89
Marshall,Conference USA,WV,84,63
Maryland,Big Ten Conference,MD,85,68
Massachusetts,Independent,MA,67,51
Memphis,American Athletic Conference,TN,90,61
Merrimack College,Independent,MA,72,63
Miami (Fla.),Atlantic Coast Conference,FL,76,42
Miami (Ohio),Mid-American Conference,OH,89,72
Michigan,Big Ten Conference,MI,92,73
Michigan State,Big Ten Conference,MI,86,75
Middle Tennessee,Conference USA,TN,95,70
Minnesota,Big Ten Conference,MN,93,74
Mississippi,Southeastern Conference,MS,68,49
Mississippi State,Southeastern Conference,MS,81,68
Missouri,Southeastern Conference,MO,84,64
Nebraska,Big Ten Conference,NE,88,66
UNLV,Mountain West Conference,NV,69,61
